nrg_cons,nrg_prc,currency,geo\time	2021	2020	2019	2018	2017	2016S2 	2015S2 	2014S2 	2013S2 	2012S2 	2011S2 	2010S2 	2009S2 	2008S2 	2007S2 
KWH1000-2499,NETC,EUR,AL	0.0455 e	0.0447 e	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 
KWH1000-2499,NETC,EUR,AT	0.0849 	0.0782 	0.0791 	0.0766 	0.0728 	0.0770 	0.0727 	0.0719 	0.0731 	0.0724 	0.0718 	0.0739 	0.0739 	0.0728 	: 
KWH1000-2499,NETC,EUR,BA	0.0411 	0.0420 	0.0417 	0.0485 	0.0478 	0.0485 	0.0483 	: 	0.0413 	0.0409 	: 	: 	: 	: 	: 
KWH1000-2499,NETC,EUR,BE	0.1128 	0.1121 	0.1176 	0.1188 	0.1120 	0.1104 	0.1111 	0.1034 	0.0984 	0.0961 	0.0899 	0.0774 	0.0740 	0.0706 	0.0605 
KWH1000-2499,NETC,EUR,BG	0.0270 	0.0261 	0.0253 	0.0240 	0.0229 	0.0224 	0.0212 	0.0184 	0.0294 	0.0313 	0.0297 	0.0215 	0.0245 	0.0271 	0.0261 
KWH1000-2499,NETC,EUR,CY	0.0307 	0.0325 	0.0337 	0.0319 	0.0313 d	0.0375 	0.0377 	0.0377 	0.0374 	0.0374 	0.0364 	0.0355 	: 	: 	: 
KWH1000-2499,NETC,EUR,CZ	0.0727 	0.0884 	0.0873 	0.0830 	0.0773 	0.0921 	0.0902 	0.0898 	0.1074 	0.1047 	0.1071 	0.0978 	0.0870 	0.0854 	0.0771 
KWH1000-2499,NETC,EUR,DE	0.0937 	0.0992 	0.0938 	0.0883 	0.0841 	0.0790 	0.0757 	0.0727 	0.0728 	0.0684 	0.0689 	0.0670 	0.0658 	0.0635 	0.0727 
KWH1000-2499,NETC,EUR,DK	0.0704 	0.0725 	0.0722 	0.0750 	0.0732 	0.0665 	0.0637 	0.0733 	0.0725 	0.0742 	0.0735 	0.0702 	0.0695 	0.0656 	0.0807 
KWH1000-2499,NETC,EUR,EA	0.0824 	0.0828 	0.0765 	0.0729 	0.0689 	0.0671 	0.0640 	0.0642 	0.0601 	0.0664 	0.0653 	0.0623 	0.0560 	0.0533 	0.0680 
KWH1000-2499,NETC,EUR,EE	0.0506 	0.0505 	0.0497 	0.0525 	0.0502 	0.0529 	0.0535 	0.0533 	0.0542 	0.0313 	0.0456 	0.0409 	0.0382 	0.0368 	0.0376 
KWH1000-2499,NETC,EUR,EL	0.0290 	0.0284 	0.0291 	0.0292 	0.0350 	0.0309 	0.0304 	0.0295 	0.0290 	0.0303 	0.0301 	0.0302 	0.0295 	: 	: 
KWH1000-2499,NETC,EUR,ES	0.0841 	0.0926 	0.0781 	0.0626 d	0.0653 d	0.0690 	0.0629 	0.0579 	0.0422 	0.1068 	0.0841 	0.0770 	0.0471 	0.0442 	: 
KWH1000-2499,NETC,EUR,EU27_2020	0.0796 	0.0788 	0.0747 	0.0715 	0.0689 	0.0676 	0.0650 	0.0652 	0.0620 	0.0671 	0.0660 	0.0625 	0.0564 	0.0551 	0.0656 
KWH1000-2499,NETC,EUR,FI	0.1121 	0.1100 	0.1063 	0.1020 	0.0951 	0.0853 	0.0773 	0.0775 	0.0756 	0.0749 	0.0713 	0.0683 	0.0660 	0.0572 	0.0551 
KWH1000-2499,NETC,EUR,FR	0.0803 	0.0769 	0.0730 	0.0680 	0.0594 	0.0572 	0.0554 	0.0610 	0.0557 	0.0555 	: 	: 	: 	: 	: 
KWH1000-2499,NETC,EUR,GE	0.0071 e	0.0028 e	0.0104 e	0.0294 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH1000-2499,NETC,EUR,HR	0.0484 	0.0484 	0.0490 	0.0491 	0.0484 	0.0484 	0.0476 	0.0468 	0.0478 	0.0485 	0.0424 	0.0424 	0.0425 	0.0432 	0.0424 
KWH1000-2499,NETC,EUR,HU	0.0461 	0.0449 	0.0456 	0.0458 	0.0463 	0.0443 	0.0453 	0.0464 	0.0477 	0.0568 	: 	0.0560 	0.0556 	0.0554 	0.0529 
KWH1000-2499,NETC,EUR,IE	0.1322 	0.1289 e	0.0987 	0.0992 	0.0945 	0.0814 	0.0828 	0.0918 	0.0934 	0.0842 	0.0749 	: 	: 	: 	: 
KWH1000-2499,NETC,EUR,IS	0.0883 	0.0778 	0.0887 	0.0910 	0.0980 	0.1005 	0.0877 	0.0814 	0.0761 	0.0923 	: 	: 	: 	: 	: 
KWH1000-2499,NETC,EUR,IT	0.0666 	0.0627 	0.0666 	0.0583 d	0.0566 d	0.0454 d	0.0408 	0.0362 	0.0310 	0.0298 	0.0298 	0.0299 	0.0268 	0.0257 	: 
KWH1000-2499,NETC,EUR,LI	0.1200 	0.1188 	0.1175 	0.1128 	0.0726 	0.0768 	0.0772 	0.0690 	: 	: 	: 	: 	: 	: 	: 
KWH1000-2499,NETC,EUR,LT	0.0580 	0.0564 	0.0483 	0.0435 	0.0411 	0.0430 	0.0364 	0.0397 	0.0415 	0.0576 	0.0567 	0.0562 	0.0417 	0.0387 	0.0441 
KWH1000-2499,NETC,EUR,LU	0.1069 	0.1106 	0.1024 	0.1005 	0.0851 	0.0856 	0.0820 	0.0820 	0.0818 	0.0831 	0.0813 	0.0830 	0.0808 	0.0876 	0.0882 
KWH1000-2499,NETC,EUR,LV	0.0579 	0.0643 	0.0582 	0.0580 	0.0601 	0.0595 	0.0564 	0.0564 	0.0564 	0.0569 	0.0561 	0.0462 	0.0464 	0.0464 	0.0334 
KWH1000-2499,NETC,EUR,MD	0.0275 	0.0334 	0.0353 	0.0369 	0.0327 	0.0302 	0.0278 	: 	: 	: 	: 	: 	: 	: 	: 
KWH1000-2499,NETC,EUR,ME	0.0467 	0.0467 	0.0489 	0.0487 	0.0486 	0.0506 	0.0496 	0.0497 	0.0505 	0.0467 	0.0403 	: 	: 	: 	: 
KWH1000-2499,NETC,EUR,MK	0.0215 	0.0202 	0.0199 	0.0170 	0.0182 	0.0262 	0.0042 	: 	: 	: 	: 	: 	: 	: 	: 
KWH1000-2499,NETC,EUR,MT	0.0270 	0.0310 	0.0250 	0.0240 	0.0250 	0.0220 	0.0220 	0.0220 	0.0220 	0.0220 	0.0220 	0.0220 	0.0220 	0.0220 	0.0219 
KWH1000-2499,NETC,EUR,NL	0.1057 	0.1001 	0.0979 	0.0974 	0.0930 	0.0955 	0.0958 	0.1019 	0.1077 	0.1033 	0.0916 	0.0866 	0.0901 	0.0656 	0.0642 
KWH1000-2499,NETC,EUR,NO	0.1396 	0.1274 	0.1368 	0.1348 	0.1259 	0.1222 	0.1202 	0.1292 	0.1361 	0.1496 	0.1461 	0.1401 	0.1205 	0.1166 	0.1225 
