 ,"Energy consumption in households, GWh"
Electricity, 
2008, 
Total,"20,395"
Heating of spaces,"7,947"
Household appliances,"8,623"
Lighting,"3,257"
Cooking,702
Other electrical equipment,"4,664"
Heating of saunas,"1,087"
Heating of domestic water,"2,739"
2009, 
Total,"21,346"
Heating of spaces,"8,546"
Household appliances,"8,97"
Lighting,"3,044"
Cooking,703
Other electrical equipment,"5,223"
Heating of saunas,"1,099"
Heating of domestic water,"2,73"
2010, 
Total,"22,904"
Heating of spaces,"10,138"
Household appliances,"8,967"
Lighting,"2,702"
Cooking,701
Other electrical equipment,"5,564"
Heating of saunas,"1,105"
Heating of domestic water,"2,693"
2011, 
Total,"21,426"
Heating of spaces,"9,451"
Household appliances,"8,212"
Lighting,"2,482"
Cooking,691
Other electrical equipment,"5,039"
Heating of saunas,"1,098"
Heating of domestic water,"2,665"
2012, 
Total,"22,382"
Heating of spaces,"9,895"
Household appliances,"8,746"
Lighting,"2,349"
Cooking,604
Other electrical equipment,"5,793"
Heating of saunas,"1,116"
Heating of domestic water,"2,625"
2013, 
Total,"21,51"
Heating of spaces,"9,517"
Household appliances,"8,284"
Lighting,"2,115"
Cooking,585
Other electrical equipment,"5,584"
Heating of saunas,"1,116"
Heating of domestic water,"2,594"
2014, 
Total,"21,264"
Heating of spaces,"9,587"
Household appliances,"7,988"
Lighting,"1,919"
Cooking,578
Other electrical equipment,"5,491"
Heating of saunas,"1,119"
Heating of domestic water,"2,57"
2015, 
Total,"20,917"
Heating of spaces,"9,464"
Household appliances,"7,78"
Lighting,"1,876"
Cooking,574
Other electrical equipment,"5,33"
Heating of saunas,"1,115"
Heating of domestic water,"2,558"
2016, 
Total,"22,514"
Heating of spaces,"10,54"
Household appliances,"8,194"
Lighting,"1,77"
Cooking,580
Other electrical equipment,"5,844"
Heating of saunas,"1,22"
Heating of domestic water,"2,561"
2017, 
Total,"22,512"
Heating of spaces,"10,726"
Household appliances,"8,034"
Lighting,"1,633"
Cooking,581
Other electrical equipment,"5,82"
Heating of saunas,"1,222"
Heating of domestic water,"2,529"
2018, 
Total,"22,731"
Heating of spaces,"10,811"
Household appliances,"8,205"
Lighting,"1,599"
Cooking,595
Other electrical equipment,"6,011"
Heating of saunas,"1,225"
Heating of domestic water,"2,49"
2019, 
Total,"22,546"
Heating of spaces,"10,401"
Household appliances,"8,439"
Lighting,"1,558"
Cooking,600
Other electrical equipment,"6,281"
Heating of saunas,"1,228"
Heating of domestic water,"2,477"
2020, 
Total,"22,041"
Heating of spaces,"9,82"
Household appliances,"8,518"
Lighting,"1,512"
Cooking,798
Other electrical equipment,"6,209"
Heating of saunas,"1,23"
Heating of domestic water,"2,472"
