"Category";"Values";"Range (low)";"Range (high)"
"2017M01";271874,687;256069,052;271874,687
"2017M02";234153,824;231410,285;244413,316
"2017M03";240956,724;231526,179;256817,196
"2017M04";214638,934;189890,135;216632,63
"2017M05";213950,175;192895,512;216102,468
"2017M06";210253,948;193016,565;210253,948
"2017M07";216325,505;209117,168;218850,272
"2017M08";213172,651;205348,782;213793,774
"2017M09";211088,613;203466,227;211088,613
"2017M10";225054,551;222101,243;225990,689
"2017M11";240694,82;227800,81;240694,82
"2017M12";256573,06;244062,072;256573,06
"2018M01";258701,828;256069,052;271874,687
"2018M02";244413,316;231410,285;244413,316
"2018M03";256817,196;231526,179;256817,196
"2018M04";216406;189890,135;216632,63
"2018M05";212542,371;192895,512;216102,468
"2018M06";208792,099;193016,565;210253,948
"2018M07";218850,272;209117,168;218850,272
"2018M08";213793,774;205348,782;213793,774
"2018M09";210055,336;203466,227;211088,613
"2018M10";225679,54;222101,243;225990,689
"2018M11";236893,91;227800,81;240694,82
"2018M12";249954,189;244062,072;256573,06
"2019M01";269098,255;256069,052;271874,687
"2019M02";233850,237;231410,285;244413,316
"2019M03";241913,393;231526,179;256817,196
"2019M04";216132,596;189890,135;216632,63
"2019M05";216102,468;192895,512;216102,468
"2019M06";208609,859;193016,565;210253,948
"2019M07";218764,459;209117,168;218850,272
"2019M08";208469,16;205348,782;213793,774
"2019M09";207662,71;203466,227;211088,613
"2019M10";224109,516;222101,243;225990,689
"2019M11";235933,351;227800,81;240694,82
"2019M12";244502,345;244062,072;256573,06
"2020M01";256069,052;256069,052;271874,687
"2020M02";236624,66;231410,285;244413,316
"2020M03";231526,179;231526,179;256817,196
"2020M04";189890,135;189890,135;216632,63
"2020M05";192895,512;192895,512;216102,468
"2020M06";193016,565;193016,565;210253,948
"2020M07";209117,168;209117,168;218850,272
"2020M08";205348,782;205348,782;213793,774
"2020M09";203466,227;203466,227;211088,613
"2020M10";222101,243;222101,243;225990,689
"2020M11";227800,81;227800,81;240694,82
"2020M12";244062,072;244062,072;256573,06
"2021M01";258781,509;256069,052;271874,687
"2021M02";231410,285;231410,285;244413,316
"2021M03";240948,673;231526,179;256817,196
"2021M04";216632,63;189890,135;216632,63
"2021M05";210603,886;192895,512;216102,468
"2021M06";204967,027;193016,565;210253,948
"2021M07";217654,103;209117,168;218850,272
"2021M08";211320,9;205348,782;213793,774
"2021M09";209997,806;203466,227;211088,613
"2021M10";225990,689;222101,243;225990,689
"2021M11";238420,546;227800,81;240694,82
"2021M12";255144,435;244062,072;256573,06
"2022M01";259739,892;256069,052;271874,687
"2022M02";232947,272;231410,285;244413,316
"2022M03";239903,426;231526,179;256817,196
"2022M04";214039,411;189890,135;216632,63
"2022M05";205996,166;192895,512;216102,468
"2022M06";205201,973;193016,565;210253,948
"2022M07";215706,542;209117,168;218850,272
"2022M08";206697,708;205348,782;213793,774
